Execution beginning
Utils: open the input file 'xinput.txt'
Utils: open succeeded for 'xinput.txt'
File has successfully been read. 
Leave readData. 
Enter doMovingAverage. 
Compute with 'width' and 'tolerance':	5	0.1
	8.56	8.25	8.49	9.46	9.96	9.13	9.2	9.32	9.63	9.13:	91.13:	9.113	1.0019 
	8.25	8.49	9.46	9.96	9.13	9.2	9.32	9.63	9.13	9.65:	92.22:	9.222	1.0464 
	8.49	9.46	9.96	9.13	9.2	9.32	9.63	9.13	9.65	9.62:	93.59:	9.359	1.0279 
	9.46	9.96	9.13	9.2	9.32	9.63	9.13	9.65	9.62	9.8:	94.9:	9.49	1.0327 
	9.96	9.13	9.2	9.32	9.63	9.13	9.65	9.62	9.8	10.25:	95.69:	9.569	1.0712 
	9.13	9.2	9.32	9.63	9.13	9.65	9.62	9.8	10.25	10.48:	96.21:	9.621	1.0893 
	9.2	9.32	9.63	9.13	9.65	9.62	9.8	10.25	10.48	10.39:	97.47:	9.747	1.066 
	9.32	9.63	9.13	9.65	9.62	9.8	10.25	10.48	10.39	10.2:	98.47:	9.847	1.0358 
	9.63	9.13	9.65	9.62	9.8	10.25	10.48	10.39	10.2	10.03:	99.18:	9.918	1.0113 
	9.13	9.65	9.62	9.8	10.25	10.48	10.39	10.2	10.03	10.9:	100.45:	10.045	1.0851 
	9.65	9.62	9.8	10.25	10.48	10.39	10.2	10.03	10.9	10.43:	101.75:	10.175	1.0251 
	9.62	9.8	10.25	10.48	10.39	10.2	10.03	10.9	10.43	10.14:	102.24:	10.224	0.99178 
	9.8	10.25	10.48	10.39	10.2	10.03	10.9	10.43	10.14	10.95:	103.57:	10.357	1.0573 
	10.25	10.48	10.39	10.2	10.03	10.9	10.43	10.14	10.95	10.41:	104.18:	10.418	0.99923 
	10.48	10.39	10.2	10.03	10.9	10.43	10.14	10.95	10.41	11.13:	105.06:	10.506	1.0594 
	10.39	10.2	10.03	10.9	10.43	10.14	10.95	10.41	11.13	11.89:	106.47:	10.647	1.1167 SELL.
	10.2	10.03	10.9	10.43	10.14	10.95	10.41	11.13	11.89	11.09:	107.17:	10.717	1.0348 
	10.03	10.9	10.43	10.14	10.95	10.41	11.13	11.89	11.09	11.16:	108.13:	10.813	1.0321 
	10.9	10.43	10.14	10.95	10.41	11.13	11.89	11.09	11.16	11.07:	109.17:	10.917	1.014 
	10.43	10.14	10.95	10.41	11.13	11.89	11.09	11.16	11.07	11.37:	109.64:	10.964	1.037 
	10.14	10.95	10.41	11.13	11.89	11.09	11.16	11.07	11.37	11.25:	110.46:	11.046	1.0185 
	10.95	10.41	11.13	11.89	11.09	11.16	11.07	11.37	11.25	11.14:	111.46:	11.146	0.99946 
	10.41	11.13	11.89	11.09	11.16	11.07	11.37	11.25	11.14	11.78:	112.29:	11.229	1.0491 
	11.13	11.89	11.09	11.16	11.07	11.37	11.25	11.14	11.78	11.46:	113.34:	11.334	1.0111 
	11.89	11.09	11.16	11.07	11.37	11.25	11.14	11.78	11.46	12.35:	114.56:	11.456	1.078 
	11.09	11.16	11.07	11.37	11.25	11.14	11.78	11.46	12.35	12.45:	115.12:	11.512	1.0815 
	11.16	11.07	11.37	11.25	11.14	11.78	11.46	12.35	12.45	12.81:	116.84:	11.684	1.0964 
	11.07	11.37	11.25	11.14	11.78	11.46	12.35	12.45	12.81	12.93:	118.61:	11.861	1.0901 
	11.37	11.25	11.14	11.78	11.46	12.35	12.45	12.81	12.93	12.65:	120.19:	12.019	1.0525 
	11.25	11.14	11.78	11.46	12.35	12.45	12.81	12.93	12.65	12.22:	121.04:	12.104	1.0096 
	11.14	11.78	11.46	12.35	12.45	12.81	12.93	12.65	12.22	12.68:	122.47:	12.247	1.0354 
	11.78	11.46	12.35	12.45	12.81	12.93	12.65	12.22	12.68	12.91:	124.24:	12.424	1.0391 
	11.46	12.35	12.45	12.81	12.93	12.65	12.22	12.68	12.91	12.25:	124.71:	12.471	0.98228 
	12.35	12.45	12.81	12.93	12.65	12.22	12.68	12.91	12.25	12.86:	126.11:	12.611	1.0197 
	12.45	12.81	12.93	12.65	12.22	12.68	12.91	12.25	12.86	11.47:	125.23:	12.523	0.91591 
	12.81	12.93	12.65	12.22	12.68	12.91	12.25	12.86	11.47	11.51:	124.29:	12.429	0.92606 
	12.93	12.65	12.22	12.68	12.91	12.25	12.86	11.47	11.51	11.6:	123.08:	12.308	0.94248 
	12.65	12.22	12.68	12.91	12.25	12.86	11.47	11.51	11.6	11.82:	121.97:	12.197	0.96909 
	12.22	12.68	12.91	12.25	12.86	11.47	11.51	11.6	11.82	11.76:	121.08:	12.108	0.97126 
	12.68	12.91	12.25	12.86	11.47	11.51	11.6	11.82	11.76	11.46:	120.32:	12.032	0.95246 
	12.91	12.25	12.86	11.47	11.51	11.6	11.82	11.76	11.46	11.95:	119.59:	11.959	0.99925 
	12.25	12.86	11.47	11.51	11.6	11.82	11.76	11.46	11.95	11.63:	118.31:	11.831	0.98301 
	12.86	11.47	11.51	11.6	11.82	11.76	11.46	11.95	11.63	11.44:	117.5:	11.75	0.97362 
	11.47	11.51	11.6	11.82	11.76	11.46	11.95	11.63	11.44	11.82:	116.46:	11.646	1.0149 
Leave doMovingAverage. 
Enter doMovingAverage. 
Compute with 'width' and 'tolerance':	10	0.05
	10.54	10.47	10.29	10.18	10.15	10.57	10.8	10.03	10.53	10.5:	104.06:	10.406	1.009 
	10.47	10.29	10.18	10.15	10.57	10.8	10.03	10.53	10.5	9.96:	103.48:	10.348	0.9625 
	10.29	10.18	10.15	10.57	10.8	10.03	10.53	10.5	9.96	9.75:	102.76:	10.276	0.94881 BUY.
	10.18	10.15	10.57	10.8	10.03	10.53	10.5	9.96	9.75	9.55:	102.02:	10.202	0.93609 BUY.
	10.15	10.57	10.8	10.03	10.53	10.5	9.96	9.75	9.55	9.89:	101.73:	10.173	0.97218 
	10.57	10.8	10.03	10.53	10.5	9.96	9.75	9.55	9.89	9.62:	101.2:	10.12	0.95059 
	10.8	10.03	10.53	10.5	9.96	9.75	9.55	9.89	9.62	9.84:	100.47:	10.047	0.9794 
	10.03	10.53	10.5	9.96	9.75	9.55	9.89	9.62	9.84	9.16:	98.83:	9.883	0.92684 BUY.
	10.53	10.5	9.96	9.75	9.55	9.89	9.62	9.84	9.16	9.21:	98.01:	9.801	0.9397 BUY.
	10.5	9.96	9.75	9.55	9.89	9.62	9.84	9.16	9.21	9.71:	97.19:	9.719	0.99907 
	9.96	9.75	9.55	9.89	9.62	9.84	9.16	9.21	9.71	9.13:	95.82:	9.582	0.95283 
	9.75	9.55	9.89	9.62	9.84	9.16	9.21	9.71	9.13	8.09:	93.95:	9.395	0.8611 BUY.
	9.55	9.89	9.62	9.84	9.16	9.21	9.71	9.13	8.09	8.27:	92.47:	9.247	0.89434 BUY.
	9.89	9.62	9.84	9.16	9.21	9.71	9.13	8.09	8.27	8:	90.92:	9.092	0.87989 BUY.
	9.62	9.84	9.16	9.21	9.71	9.13	8.09	8.27	8	8.41:	89.44:	8.944	0.9403 BUY.
	9.84	9.16	9.21	9.71	9.13	8.09	8.27	8	8.41	8.03:	87.85:	8.785	0.91406 BUY.
	9.16	9.21	9.71	9.13	8.09	8.27	8	8.41	8.03	8.71:	86.72:	8.672	1.0044 
	9.21	9.71	9.13	8.09	8.27	8	8.41	8.03	8.71	8.94:	86.5:	8.65	1.0335 
